match_score,user_feedback,notes,title,company,location,job_type,date_found,source,similarity_score,keyword_bonus,location_bonus,location_penalty,role_bonus,job_type_bonus,job_type_penalty,avoid_penalty,feedback_adjustment,match_reason,profile_skills_found,job_skills_found,missing_skills,skill_match_rate,matched_keywords,avoid_keywords_found,link
53.42,liked,"Strong fit: software development, Java, SQL, Kocaeli hybrid.",Software Development Intern,FinCore Tech,Hybrid - Kocaeli,Internship,2026-05-23,Sample Dataset,25.53,3.1,10.0,0.0,10.0,5.0,0.0,0.0,10.0,"Matches preferred keywords: Java, SQL, software development, algorithms; Profile skills found: Java, SQL, algorithms and data structures, software development; Location fits preference: Kocaeli; Title matches target role: Software Development Intern; Job type fits preference: Internship; User feedback: liked","Java, SQL, algorithms and data structures, software development","Java, SQL, algorithms, data structures, software development, algorithms and data structures",,100.0,"Java, SQL, software development, algorithms, data structures, internship",,https://example.com/jobs/software-development-intern-fincore
39.32,liked,Good part-time data science role for a student.,Data Science Working Student,Quantiva AI,Remote,Part-time,2026-05-23,Sample Dataset,16.96,4.14,10.0,0.0,0.0,5.0,0.0,0.0,10.0,"Matches preferred keywords: machine learning, Python, SQL, pandas; Profile skills found: Python, pandas, SQL, machine learning; Location fits preference: Remote; Job type fits preference: Part-time; User feedback: liked","Python, pandas, SQL, machine learning, AI","Python, SQL, pandas, machine learning, AI",,100.0,"machine learning, Python, SQL, pandas, data science, AI, part-time, student",,https://example.com/jobs/data-science-working-student
36.34,,,Machine Learning Intern,DataBridge Analytics,Remote,Internship,2026-05-23,Sample Dataset,14.59,2.59,10.0,0.0,10.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: machine learning, Python, pandas, data science; Profile skills found: Python, pandas, machine learning; Possible skill gaps: scikit-learn, natural language processing; Location fits preference: Remote; Title matches target role: Machine Learning Intern; Job type fits preference: Internship","Python, pandas, machine learning","Python, pandas, scikit-learn, machine learning, natural language processing","scikit-learn, natural language processing",60.0,"machine learning, Python, pandas, data science, internship",,https://example.com/jobs/ml-intern-databridge
32.49,,,Data Science Intern,BrightRetail Labs,Istanbul,Internship,2026-05-23,Sample Dataset,9.03,2.07,10.0,0.0,10.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Python, SQL, data science, internship; Profile skills found: Python, SQL; Possible skill gaps: dashboard; Location fits preference: Istanbul; Title matches target role: Data Science Intern; Job type fits preference: Internship","Python, SQL","Python, SQL, dashboard",dashboard,66.67,"Python, SQL, data science, internship",,https://example.com/jobs/data-science-intern-brightretail
31.11,,,Long-term Data Analytics Intern,InsightOps,Istanbul,Long-term Internship,2026-05-23,Sample Dataset,19.96,4.14,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Python, SQL, pandas, data analytics; Profile skills found: Python, pandas, SQL, Excel; Possible skill gaps: dashboard; Location fits preference: Istanbul; Job type fits preference: Internship","Python, pandas, SQL, Excel","Python, SQL, pandas, Excel, dashboard",dashboard,80.0,"Python, SQL, pandas, data analytics, Excel, internship, part-time, long-term internship",,https://example.com/jobs/long-term-data-analytics-intern
30.45,,,Business Intelligence Intern,MetricFlow,Remote,Internship,2026-05-23,Sample Dataset,20.58,3.1,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: SQL, pandas, data analysis, Excel; Profile skills found: pandas, SQL, Excel, data analysis; Possible skill gaps: data visualization; Location fits preference: Remote; Job type fits preference: Internship","pandas, SQL, Excel, data analysis, business analytics","SQL, pandas, data analysis, data visualization, business analytics, Excel",data visualization,83.33,"SQL, pandas, data analysis, Excel, business analytics, internship",,https://example.com/jobs/business-intelligence-intern
29.9,,,Simulation Analyst Intern,FactoryLab,Istanbul,Internship,2026-05-23,Sample Dataset,19.67,3.1,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: data analysis, optimization, simulation, Arena; Profile skills found: Arena, Excel, data analysis, optimization; Location fits preference: Istanbul; Job type fits preference: Internship","Arena, Excel, data analysis, optimization, simulation","data analysis, Excel, Arena, optimization, simulation",,100.0,"data analysis, optimization, simulation, Arena, Excel, internship",,https://example.com/jobs/simulation-analyst-intern
28.35,,,Mobile App Intern,CampusApps,Istanbul,Internship,2026-05-23,Sample Dataset,17.94,2.59,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Dart, Flutter, software development, mobile application; Profile skills found: Dart, Flutter, software development, mobile application; Location fits preference: Istanbul; Job type fits preference: Internship","Dart, Flutter, software development, mobile application","Dart, Flutter, software development, mobile application",,100.0,"Dart, Flutter, software development, mobile application, internship",,https://example.com/jobs/mobile-app-intern-campusapps
28.2,,,AI Engineering Intern,VisionMind AI,Hybrid - Istanbul,Internship,2026-05-23,Sample Dataset,16.83,3.1,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: machine learning, Python, data analysis, AI; Profile skills found: Python, data analysis, machine learning, AI; Location fits preference: Istanbul; Job type fits preference: Internship","Python, data analysis, machine learning, AI, software development","Python, machine learning, data analysis, software development, AI",,100.0,"machine learning, Python, data analysis, AI, software development, internship",,https://example.com/jobs/ai-engineering-intern-visionmind
27.57,,,Part-time Flutter Developer,AppNest Studio,Remote,Part-time,2026-05-23,Sample Dataset,16.65,2.59,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Dart, Flutter, software development, mobile application; Profile skills found: Dart, Flutter, software development, mobile application; Location fits preference: Remote; Job type fits preference: Part-time","Dart, Flutter, software development, mobile application","Dart, Flutter, software development, mobile application",,100.0,"Dart, Flutter, software development, mobile application, part-time",,https://example.com/jobs/part-time-flutter-developer
