feedback_priority_score,predicted_relevance_score,hybrid_score_v2,match_score,title,company,location,job_type,cluster_label,match_reason,link
87.08,56.46,16.94,0.0,Business Analyst Intern,Global Finance Group,London,Internship,Data & Analytics,"Matches preferred keywords: Excel, internship; Profile skills found: Excel; Location is not in preferred locations; Title matches target role: Business Analyst Intern; Job type fits preference: Internship",https://example.com/jobs/business-analyst-intern
84.84,57.58,33.63,23.37,Cybersecurity Data Intern,ShieldAnalytics,Remote,Internship,Data & Analytics,"Matches preferred keywords: Python, SQL, cybersecurity, internship; Profile skills found: Python, SQL, cybersecurity; Location fits preference: Remote; Job type fits preference: Internship",https://example.com/jobs/cybersecurity-data-intern
82.58,58.71,31.68,20.09,Data Engineering Intern,StreamWorks,Remote,Internship,Data & Analytics,"Matches preferred keywords: Python, SQL, internship; Profile skills found: Python, SQL; Possible skill gaps: ETL; Location fits preference: Remote; Job type fits preference: Internship",https://example.com/jobs/data-engineering-intern-streamworks
79.74,60.13,39.82,31.11,Long-term Data Analytics Intern,InsightOps,Istanbul,Long-term Internship,AI & Machine Learning,"Matches preferred keywords: Python, SQL, pandas, data analytics; Profile skills found: Python, pandas, SQL, Excel; Possible skill gaps: dashboard; Location fits preference: Istanbul; Job type fits preference: Internship",https://example.com/jobs/long-term-data-analytics-intern
79.66,60.17,35.24,24.56,Optimization Intern,OptiWorks,Kocaeli,Internship,Data & Analytics,"Matches preferred keywords: Python, optimization, simulation, Gurobi; Profile skills found: Python, Gurobi, optimization, simulation; Location fits preference: Kocaeli; Job type fits preference: Internship",https://example.com/jobs/optimization-intern-optiworks
79.42,60.29,18.09,0.0,Cybersecurity Intern,SecureNet,Ankara,Internship,Data & Analytics,"Matches preferred keywords: Python, cybersecurity, internship; Profile skills found: Python, cybersecurity; Location is not in preferred locations; Title matches target role: Cybersecurity Intern; Job type fits preference: Internship",https://example.com/jobs/cybersecurity-intern-securenet
78.94,60.53,27.65,13.56,Marketing Operations Intern,TrendWave Media,Istanbul,Internship,Data & Analytics,"Matches preferred keywords: internship; Location fits preference: Istanbul; Job type fits preference: Internship; Contains avoid keywords: marketing, social media, influencer",https://example.com/jobs/marketing-ops-intern
78.88,60.56,39.48,30.45,Business Intelligence Intern,MetricFlow,Remote,Internship,Data & Analytics,"Matches preferred keywords: SQL, pandas, data analysis, Excel; Profile skills found: pandas, SQL, Excel, data analysis; Possible skill gaps: data visualization; Location fits preference: Remote; Job type fits preference: Internship",https://example.com/jobs/business-intelligence-intern
78.04,60.98,37.1,26.86,Operations Research Part-time Analyst,RouteWise,Hybrid - Istanbul,Part-time,AI & Machine Learning,"Matches preferred keywords: Python, algorithms, optimization, Gurobi; Profile skills found: Python, Gurobi, Excel, algorithms; Location fits preference: Istanbul; Job type fits preference: Part-time",https://example.com/jobs/operations-research-part-time-analyst
76.58,61.71,38.36,28.35,Mobile App Intern,CampusApps,Istanbul,Internship,Software & Mobile,"Matches preferred keywords: Dart, Flutter, software development, mobile application; Profile skills found: Dart, Flutter, software development, mobile application; Location fits preference: Istanbul; Job type fits preference: Internship",https://example.com/jobs/mobile-app-intern-campusapps
