title,company,location,job_type,description,link,source,date_found,combined_text,clean_text,user_feedback,notes,similarity_score,keyword_bonus,avoid_penalty,location_bonus,location_penalty,role_bonus,job_type_bonus,job_type_penalty,feedback_adjustment,match_score,match_reason,profile_skills_found,job_skills_found,missing_skills,skill_match_rate,matched_keywords,avoid_keywords_found
Software Development Intern,FinCore Tech,Hybrid - Kocaeli,Internship,"Build backend and frontend features using Java, SQL, algorithms, and data structures. The internship is designed for computer engineering students interested in software development.",https://example.com/jobs/software-development-intern-fincore,Sample Dataset,2026-05-23,"Software Development Intern FinCore Tech Hybrid - Kocaeli Internship Build backend and frontend features using Java, SQL, algorithms, and data structures. The internship is designed for computer engineering students interested in software development.",software development intern fincore tech hybrid - kocaeli internship build backend and frontend features using java sql algorithms and data structures. the internship is designed for computer engineering students interested in software development.,liked,"Strong fit: software development, Java, SQL, Kocaeli hybrid.",25.53,3.1,0.0,10.0,0.0,10.0,5.0,0.0,10.0,53.42,"Matches preferred keywords: Java, SQL, software development, algorithms; Profile skills found: Java, SQL, algorithms and data structures, software development; Location fits preference: Kocaeli; Title matches target role: Software Development Intern; Job type fits preference: Internship; User feedback: liked","Java, SQL, algorithms and data structures, software development","Java, SQL, algorithms, data structures, software development, algorithms and data structures",,100.0,"Java, SQL, software development, algorithms, data structures, internship",
Data Science Working Student,Quantiva AI,Remote,Part-time,"Work part-time on data science experiments using Python, pandas, SQL, machine learning, and model evaluation. This role is open to students who can continue during the academic year.",https://example.com/jobs/data-science-working-student,Sample Dataset,2026-05-23,"Data Science Working Student Quantiva AI Remote Part-time Work part-time on data science experiments using Python, pandas, SQL, machine learning, and model evaluation. This role is open to students who can continue during the academic year.",data science working student quantiva ai remote part-time work part-time on data science experiments using python pandas sql machine learning and model evaluation. this role is open to students who can continue during the academic year.,liked,Good part-time data science role for a student.,16.96,4.14,0.0,10.0,0.0,0.0,5.0,0.0,10.0,39.32,"Matches preferred keywords: machine learning, Python, SQL, pandas; Profile skills found: Python, pandas, SQL, machine learning; Location fits preference: Remote; Job type fits preference: Part-time; User feedback: liked","Python, pandas, SQL, machine learning, AI","Python, SQL, pandas, machine learning, AI",,100.0,"machine learning, Python, SQL, pandas, data science, AI, part-time, student",
Machine Learning Intern,DataBridge Analytics,Remote,Internship,"Work with Python, pandas, scikit-learn, and natural language processing to analyze product feedback. You will clean text data, build simple models, evaluate results, and present insights to the data science team.",https://example.com/jobs/ml-intern-databridge,Sample Dataset,2026-05-23,"Machine Learning Intern DataBridge Analytics Remote Internship Work with Python, pandas, scikit-learn, and natural language processing to analyze product feedback. You will clean text data, build simple models, evaluate results, and present insights to the data science team.",machine learning intern databridge analytics remote internship work with python pandas scikit-learn and natural language processing to analyze product feedback. you will clean text data build simple models evaluate results and present insights to the data science team.,,,14.59,2.59,0.0,10.0,0.0,10.0,5.0,0.0,0.0,36.34,"Matches preferred keywords: machine learning, Python, pandas, data science; Profile skills found: Python, pandas, machine learning; Possible skill gaps: scikit-learn, natural language processing; Location fits preference: Remote; Title matches target role: Machine Learning Intern; Job type fits preference: Internship","Python, pandas, machine learning","Python, pandas, scikit-learn, machine learning, natural language processing","scikit-learn, natural language processing",60.0,"machine learning, Python, pandas, data science, internship",
Data Science Intern,BrightRetail Labs,Istanbul,Internship,"Join a retail analytics team building recommendation models for customer behavior. Responsibilities include SQL analysis, Python notebooks, feature engineering, model evaluation, and dashboard summaries.",https://example.com/jobs/data-science-intern-brightretail,Sample Dataset,2026-05-23,"Data Science Intern BrightRetail Labs Istanbul Internship Join a retail analytics team building recommendation models for customer behavior. Responsibilities include SQL analysis, Python notebooks, feature engineering, model evaluation, and dashboard summaries.",data science intern brightretail labs istanbul internship join a retail analytics team building recommendation models for customer behavior. responsibilities include sql analysis python notebooks feature engineering model evaluation and dashboard summaries.,,,9.03,2.07,0.0,10.0,0.0,10.0,5.0,0.0,0.0,32.49,"Matches preferred keywords: Python, SQL, data science, internship; Profile skills found: Python, SQL; Possible skill gaps: dashboard; Location fits preference: Istanbul; Title matches target role: Data Science Intern; Job type fits preference: Internship","Python, SQL","Python, SQL, dashboard",dashboard,66.67,"Python, SQL, data science, internship",
Long-term Data Analytics Intern,InsightOps,Istanbul,Long-term Internship,"Support analytics projects with Python, SQL, pandas, Excel, and dashboard reporting. This long-term internship is open to undergraduate students who can work part-time during the semester.",https://example.com/jobs/long-term-data-analytics-intern,Sample Dataset,2026-05-23,"Long-term Data Analytics Intern InsightOps Istanbul Long-term Internship Support analytics projects with Python, SQL, pandas, Excel, and dashboard reporting. This long-term internship is open to undergraduate students who can work part-time during the semester.",long-term data analytics intern insightops istanbul long-term internship support analytics projects with python sql pandas excel and dashboard reporting. this long-term internship is open to undergraduate students who can work part-time during the semester.,,,19.96,4.14,0.0,10.0,0.0,0.0,5.0,0.0,0.0,31.11,"Matches preferred keywords: Python, SQL, pandas, data analytics; Profile skills found: Python, pandas, SQL, Excel; Possible skill gaps: dashboard; Location fits preference: Istanbul; Job type fits preference: Internship","Python, pandas, SQL, Excel","Python, SQL, pandas, Excel, dashboard",dashboard,80.0,"Python, SQL, pandas, data analytics, Excel, internship, part-time, long-term internship",
Business Intelligence Intern,MetricFlow,Remote,Internship,"Prepare business analytics reports using SQL, Excel, pandas, and data visualization. The position is open to students interested in data analysis and analytics storytelling.",https://example.com/jobs/business-intelligence-intern,Sample Dataset,2026-05-23,"Business Intelligence Intern MetricFlow Remote Internship Prepare business analytics reports using SQL, Excel, pandas, and data visualization. The position is open to students interested in data analysis and analytics storytelling.",business intelligence intern metricflow remote internship prepare business analytics reports using sql excel pandas and data visualization. the position is open to students interested in data analysis and analytics storytelling.,,,20.58,3.1,0.0,10.0,0.0,0.0,5.0,0.0,0.0,30.45,"Matches preferred keywords: SQL, pandas, data analysis, Excel; Profile skills found: pandas, SQL, Excel, data analysis; Possible skill gaps: data visualization; Location fits preference: Remote; Job type fits preference: Internship","pandas, SQL, Excel, data analysis, business analytics","SQL, pandas, data analysis, data visualization, business analytics, Excel",data visualization,83.33,"SQL, pandas, data analysis, Excel, business analytics, internship",
Simulation Analyst Intern,FactoryLab,Istanbul,Internship,"Use Arena simulation, Excel, and data analysis to evaluate manufacturing processes. This internship is suitable for industrial engineering students interested in analytics and optimization.",https://example.com/jobs/simulation-analyst-intern,Sample Dataset,2026-05-23,"Simulation Analyst Intern FactoryLab Istanbul Internship Use Arena simulation, Excel, and data analysis to evaluate manufacturing processes. This internship is suitable for industrial engineering students interested in analytics and optimization.",simulation analyst intern factorylab istanbul internship use arena simulation excel and data analysis to evaluate manufacturing processes. this internship is suitable for industrial engineering students interested in analytics and optimization.,,,19.67,3.1,0.0,10.0,0.0,0.0,5.0,0.0,0.0,29.9,"Matches preferred keywords: data analysis, optimization, simulation, Arena; Profile skills found: Arena, Excel, data analysis, optimization; Location fits preference: Istanbul; Job type fits preference: Internship","Arena, Excel, data analysis, optimization, simulation","data analysis, Excel, Arena, optimization, simulation",,100.0,"data analysis, optimization, simulation, Arena, Excel, internship",
Mobile App Intern,CampusApps,Istanbul,Internship,"Create mobile application screens with Flutter and Dart. You will fix UI issues, write simple tests, and learn from a software development mentor.",https://example.com/jobs/mobile-app-intern-campusapps,Sample Dataset,2026-05-23,"Mobile App Intern CampusApps Istanbul Internship Create mobile application screens with Flutter and Dart. You will fix UI issues, write simple tests, and learn from a software development mentor.",mobile app intern campusapps istanbul internship create mobile application screens with flutter and dart. you will fix ui issues write simple tests and learn from a software development mentor.,,,17.94,2.59,0.0,10.0,0.0,0.0,5.0,0.0,0.0,28.35,"Matches preferred keywords: Dart, Flutter, software development, mobile application; Profile skills found: Dart, Flutter, software development, mobile application; Location fits preference: Istanbul; Job type fits preference: Internship","Dart, Flutter, software development, mobile application","Dart, Flutter, software development, mobile application",,100.0,"Dart, Flutter, software development, mobile application, internship",
AI Engineering Intern,VisionMind AI,Hybrid - Istanbul,Internship,"Join an AI team building machine learning prototypes with Python, data analysis, model evaluation, and clean software development practices. Undergraduate students are encouraged to apply.",https://example.com/jobs/ai-engineering-intern-visionmind,Sample Dataset,2026-05-23,"AI Engineering Intern VisionMind AI Hybrid - Istanbul Internship Join an AI team building machine learning prototypes with Python, data analysis, model evaluation, and clean software development practices. Undergraduate students are encouraged to apply.",ai engineering intern visionmind ai hybrid - istanbul internship join an ai team building machine learning prototypes with python data analysis model evaluation and clean software development practices. undergraduate students are encouraged to apply.,,,16.83,3.1,0.0,10.0,0.0,0.0,5.0,0.0,0.0,28.2,"Matches preferred keywords: machine learning, Python, data analysis, AI; Profile skills found: Python, data analysis, machine learning, AI; Location fits preference: Istanbul; Job type fits preference: Internship","Python, data analysis, machine learning, AI, software development","Python, machine learning, data analysis, software development, AI",,100.0,"machine learning, Python, data analysis, AI, software development, internship",
Part-time Flutter Developer,AppNest Studio,Remote,Part-time,"Develop mobile application features using Dart and Flutter. The role is suitable for students and includes code reviews, UI bug fixes, and collaboration with a software development team.",https://example.com/jobs/part-time-flutter-developer,Sample Dataset,2026-05-23,"Part-time Flutter Developer AppNest Studio Remote Part-time Develop mobile application features using Dart and Flutter. The role is suitable for students and includes code reviews, UI bug fixes, and collaboration with a software development team.",part-time flutter developer appnest studio remote part-time develop mobile application features using dart and flutter. the role is suitable for students and includes code reviews ui bug fixes and collaboration with a software development team.,,,16.65,2.59,0.0,10.0,0.0,0.0,5.0,0.0,0.0,27.57,"Matches preferred keywords: Dart, Flutter, software development, mobile application; Profile skills found: Dart, Flutter, software development, mobile application; Location fits preference: Remote; Job type fits preference: Part-time","Dart, Flutter, software development, mobile application","Dart, Flutter, software development, mobile application",,100.0,"Dart, Flutter, software development, mobile application, part-time",
