title,company,location,job_type,description,link,source,date_found
Machine Learning Intern,DataBridge Analytics,Remote,Internship,"Work with Python, pandas, scikit-learn, and natural language processing to analyze product feedback. You will clean text data, build simple models, evaluate results, and present insights to the data science team.",https://example.com/jobs/ml-intern-databridge,Sample Dataset,2026-05-23
Data Science Intern,BrightRetail Labs,Istanbul,Internship,"Join a retail analytics team building recommendation models for customer behavior. Responsibilities include SQL analysis, Python notebooks, feature engineering, model evaluation, and dashboard summaries.",https://example.com/jobs/data-science-intern-brightretail,Sample Dataset,2026-05-23
NLP Research Assistant,UniTech AI Lab,Hybrid - Istanbul,Internship,"Support applied NLP research projects using TF-IDF, text classification, embeddings, and topic modeling. The role is ideal for students who enjoy machine learning experiments and reading research papers.",https://example.com/jobs/nlp-research-assistant,Sample Dataset,2026-05-23
Business Analyst Intern,Global Finance Group,London,Internship,"Prepare Excel reports, summarize business KPIs, and support stakeholder presentations. This role focuses on finance reporting, documentation, and manual data checks.",https://example.com/jobs/business-analyst-intern,Sample Dataset,2026-05-23
Backend Software Engineering Intern,CloudForge Systems,Remote,Internship,"Build Python APIs, write tests, and collaborate with engineers on backend services. Some exposure to data pipelines, SQL, and cloud deployment is helpful.",https://example.com/jobs/backend-engineering-intern,Sample Dataset,2026-05-23
Marketing Operations Intern,TrendWave Media,Istanbul,Internship,"Assist with social media calendars, campaign reporting, influencer research, and brand content planning. This position is best for candidates interested in digital marketing.",https://example.com/jobs/marketing-ops-intern,Sample Dataset,2026-05-23
Junior Data Analyst,HealthPulse,Remote,Full-time,"Analyze healthcare datasets using Python, SQL, and pandas. Create dashboards, clean messy data, and communicate insights about patient engagement and operations.",https://example.com/jobs/junior-data-analyst-healthpulse,Sample Dataset,2026-05-23
AI Product Intern,EduFuture AI,Remote,Internship,"Work between product and machine learning teams to improve an AI education platform. Tasks include user research, evaluating model outputs, writing product notes, and tracking experiments.",https://example.com/jobs/ai-product-intern-edufuture,Sample Dataset,2026-05-23
Cybersecurity Intern,SecureNet,Ankara,Internship,"Monitor alerts, review security tickets, document incident response steps, and learn about network security tools. Python scripting is a plus but not the main focus.",https://example.com/jobs/cybersecurity-intern-securenet,Sample Dataset,2026-05-23
Data Engineering Intern,StreamWorks,Remote,Internship,"Help build ETL pipelines, validate datasets, write SQL transformations, and support analytics engineers. Experience with Python and clean code is preferred.",https://example.com/jobs/data-engineering-intern-streamworks,Sample Dataset,2026-05-23
Long-term Data Analytics Intern,InsightOps,Istanbul,Long-term Internship,"Support analytics projects with Python, SQL, pandas, Excel, and dashboard reporting. This long-term internship is open to undergraduate students who can work part-time during the semester.",https://example.com/jobs/long-term-data-analytics-intern,Sample Dataset,2026-05-23
Part-time Flutter Developer,AppNest Studio,Remote,Part-time,"Develop mobile application features using Dart and Flutter. The role is suitable for students and includes code reviews, UI bug fixes, and collaboration with a software development team.",https://example.com/jobs/part-time-flutter-developer,Sample Dataset,2026-05-23
Optimization Intern,OptiWorks,Kocaeli,Internship,"Work on operations research models using Python, Gurobi, simulation, and optimization. You will help analyze production planning scenarios and prepare reports for engineering teams.",https://example.com/jobs/optimization-intern-optiworks,Sample Dataset,2026-05-23
AI Engineering Intern,VisionMind AI,Hybrid - Istanbul,Internship,"Join an AI team building machine learning prototypes with Python, data analysis, model evaluation, and clean software development practices. Undergraduate students are encouraged to apply.",https://example.com/jobs/ai-engineering-intern-visionmind,Sample Dataset,2026-05-23
Software Development Intern,FinCore Tech,Hybrid - Kocaeli,Internship,"Build backend and frontend features using Java, SQL, algorithms, and data structures. The internship is designed for computer engineering students interested in software development.",https://example.com/jobs/software-development-intern-fincore,Sample Dataset,2026-05-23
Simulation Analyst Intern,FactoryLab,Istanbul,Internship,"Use Arena simulation, Excel, and data analysis to evaluate manufacturing processes. This internship is suitable for industrial engineering students interested in analytics and optimization.",https://example.com/jobs/simulation-analyst-intern,Sample Dataset,2026-05-23
Cybersecurity Data Intern,ShieldAnalytics,Remote,Internship,"Analyze security event data using Python and SQL. You will build reports, investigate patterns, and support cybersecurity analysts with data-driven insights.",https://example.com/jobs/cybersecurity-data-intern,Sample Dataset,2026-05-23
Junior Machine Learning Engineer,ModelCraft,Berlin,Full-time,"Build machine learning services with Python and production deployment. Applicants must have graduated and should have at least one year of full-time professional experience.",https://example.com/jobs/junior-ml-engineer-modelcraft,Sample Dataset,2026-05-23
Graduate Software Engineer,Northstar Systems,London,Full-time,"Develop Java backend services and work with SQL databases. This full-time role requires a bachelor's degree and is intended for new graduate candidates.",https://example.com/jobs/graduate-software-engineer,Sample Dataset,2026-05-23
Mobile App Intern,CampusApps,Istanbul,Internship,"Create mobile application screens with Flutter and Dart. You will fix UI issues, write simple tests, and learn from a software development mentor.",https://example.com/jobs/mobile-app-intern-campusapps,Sample Dataset,2026-05-23
